,lstm,rnn,gru
0,0.6835637092590332,0.6627383232116699,0.7389916181564331
1,0.8524402976036072,1.3415359258651733,0.8331899046897888
2,0.7177326679229736,0.7672963738441467,0.7489540576934814
3,0.7072914242744446,0.7081277370452881,0.6973650455474854
4,0.7298849821090698,0.843948483467102,0.6640447974205017
5,0.6986037492752075,1.141729712486267,0.8135786056518555
6,0.7044552564620972,0.6751230359077454,0.7603192329406738
7,0.6714184880256653,0.6948419809341431,0.6602125763893127
8,0.6835640668869019,1.0106990337371826,0.7203122973442078
9,0.6836217045783997,1.064539909362793,0.8791995644569397
10,0.7009826302528381,0.7835411429405212,0.7975793480873108
11,0.6760052442550659,0.6682628393173218,0.7698909044265747
12,0.7054581642150879,0.7630450129508972,0.663841724395752
13,0.7172430157661438,0.7067871689796448,0.7645095586776733
14,0.6773896813392639,0.7963835597038269,0.9360383749008179
15,0.6769962906837463,0.718972384929657,0.8283591866493225
16,0.7107283473014832,0.7002718448638916,0.6539194583892822
17,0.6629421710968018,0.7631019949913025,0.7133515477180481
18,0.7023267149925232,0.7533462643623352,0.6469905376434326
19,0.6642967462539673,0.9179157018661499,0.6758153438568115
20,0.6799566745758057,0.7611411809921265,0.696654200553894
21,0.6924797296524048,0.7815812230110168,0.7180566787719727
22,0.6783121228218079,0.7463295459747314,0.6743276119232178
23,0.6980217099189758,0.7920287847518921,0.7253775596618652
24,0.6496531367301941,0.9076379537582397,0.6883631348609924
25,0.7228244543075562,0.6690281629562378,0.6867315769195557
26,0.7042540311813354,0.8895352482795715,0.6582443118095398
27,0.7008692622184753,0.8666450381278992,0.7508394718170166
28,0.6807782649993896,0.7546525001525879,0.6707066297531128
29,0.7659144997596741,0.7173239588737488,0.7657172083854675
30,0.7580198645591736,0.8025193810462952,0.6119109392166138
31,0.7051293849945068,0.8890088796615601,0.7122317552566528
32,0.7253365516662598,0.8890327215194702,0.7425791025161743
33,0.7318620085716248,0.7001595497131348,0.6911352872848511
34,0.7195295691490173,0.7551572322845459,0.7173014879226685
35,0.7012198567390442,0.6554398536682129,0.6625920534133911
36,0.6628827452659607,0.7559195756912231,0.695116400718689
37,0.684110164642334,0.6722280979156494,0.7430340051651001
38,0.688940703868866,0.7052045464515686,0.7333030700683594
39,0.6828292608261108,0.8011038899421692,0.8747261166572571
40,0.669646143913269,0.763465404510498,0.778560996055603
41,0.7420849800109863,0.7268158197402954,0.672658383846283
42,0.7106983065605164,0.7065984606742859,0.7388081550598145
43,0.7026875615119934,0.6916125416755676,0.7281447649002075
44,0.6620191931724548,0.6594264507293701,0.7247965335845947
45,0.6944493055343628,0.7551140785217285,0.7748037576675415
46,0.6702831387519836,0.6814670562744141,0.7540969848632812
47,0.6459587812423706,0.6850057244300842,0.7127130627632141
48,0.7382028102874756,0.7874814867973328,0.6669889688491821
